mileage,engine_power,registration_date,fuel,paint_color,car_type,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,price,sold_at
109839,135,2014-04-01,diesel,black,sedan,True,True,False,False,True,False,True,False,23100,2018-05-01
180032,105,2014-03-01,diesel,grey,hatchback,True,True,False,False,False,False,True,False,14300,2018-03-01
147699,190,2013-10-01,diesel,grey,estate,True,True,False,True,True,True,True,True,24900,2018-05-01
95241,85,2012-11-01,diesel,blue,sedan,False,True,False,False,False,False,True,False,12000,2018-02-01
133214,190,2014-03-01,diesel,black,estate,True,True,False,False,True,True,True,True,22000,2018-07-01
199826,85,2013-03-01,diesel,brown,estate,False,False,False,False,False,False,True,False,6700,2018-08-01
148245,120,2012-11-01,diesel,grey,suv,False,False,False,False,False,False,True,False,9500,2018-08-01
89668,105,2014-04-01,diesel,white,suv,False,True,True,False,True,True,True,True,19000,2018-08-01
124547,155,2011-12-01,diesel,silver,suv,True,True,False,True,True,False,True,True,21800,2018-03-01
150603,120,2013-06-01,diesel,blue,sedan,False,True,False,False,True,False,True,True,16300,2018-05-01
181638,135,2011-10-01,petrol,blue,sedan,False,True,False,False,False,False,True,True,13800,2018-03-01
127981,120,2012-11-01,diesel,brown,estate,True,False,False,False,False,False,True,False,14200,2018-09-01
211573,105,2014-01-01,diesel,black,sedan,True,True,False,False,True,False,True,True,18000,2018-01-01
170156,155,2012-01-01,diesel,black,suv,True,True,False,True,False,False,True,True,20500,2018-03-01
151095,135,2013-04-01,diesel,black,sedan,False,True,True,True,True,False,True,True,18100,2018-05-01
145081,85,2014-07-01,diesel,black,estate,False,True,False,False,True,False,True,True,12600,2018-02-01
148480,155,2014-06-01,diesel,silver,suv,True,True,True,True,True,False,True,True,35700,2018-08-01
71037,140,2014-09-01,diesel,blue,suv,True,True,False,False,True,False,True,False,23800,2018-08-01
250531,120,2008-05-01,diesel,blue,estate,True,True,False,False,False,False,True,False,5800,2018-02-01
167205,135,2014-06-01,diesel,blue,suv,True,True,False,True,True,True,True,True,20800,2018-07-01
612,183,2016-10-01,diesel,black,suv,True,True,False,False,False,False,True,True,49100,2018-06-01
159143,120,2014-08-01,diesel,black,sedan,True,True,False,False,True,False,True,True,14500,2018-04-01
123886,125,2004-07-01,petrol,black,convertible,True,False,False,False,False,True,True,False,6200,2018-03-01
165863,155,2011-11-01,diesel,black,sedan,True,True,False,False,True,True,True,True,16900,2018-07-01
149638,105,2013-03-01,diesel,blue,hatchback,False,True,False,False,True,True,True,False,13700,2018-02-01
232448,100,2009-11-01,diesel,black,estate,False,True,False,False,False,False,True,False,6000,2018-08-01
191597,85,2015-06-01,diesel,grey,sedan,False,True,False,False,False,False,True,True,11400,2018-03-01
153062,100,2014-07-01,diesel,grey,estate,True,True,False,False,False,False,True,False,10800,2018-03-01
63121,85,2014-05-01,diesel,grey,estate,False,True,False,False,False,False,True,False,12600,2018-05-01
25703,70,2016-01-01,diesel,grey,subcompact,False,True,False,False,False,False,True,False,8200,2018-05-01
